абитуриент;выпускник
непочтительность;уважение
неправдоподобный;правдоподобный
неправедный;справедливый
неправоспособный;правоспособный
неправота;правота
непрактичный;жизненный
непредвиденность;предсказуемость
непредсказуемость;предсказуемость
непредубеждённо;субъективно
непременный;случайный
непреодолимость;преодолимость
непрестанность;прерывистость
непривычный;банальный
непризнание;признание
непризнанный;признанный
непримиримый;союзнический
непринуждённо;искусственно
непринуждённый;натянутый
непринятие;признание
непристойный;приличный
неприступный;достижимый
непричастность;виновность
неприятие;признание
неприятно;приятно
неприятность;удовольствие
непроверенный;достоверный
непроводник;проводник
непроворный;быстрый
непроглядность;прозрачность
непромокаемый;промокаемый
непропорционально;одинаково
непросвещённость;образованность
непростительный;допустимый
непротиворечивый;противоречивый
непрофессионал;профессионал
непрофессиональный;профессиональный
непрочно;устойчиво
непрошеный;желательный
непрошибаемый;проницаемый
непыльный;трудный
непьющий;пить
нерабочий;будний
неравнодушие;равнодушие
неравноценный;равный
неразбериха;порядок
неразвитый;развитый
неразделённый;разрозненный
неразделимый;раздельность
неразделимость;разложимость
неразмещенный;разделить
неразрушимый;ограниченный
неразумность;уместность
неразъединимый;разъёмный
нерассудительность;осмотрительность
нерачительность;внимательность
нерегулируемый;контролировать
нерегулярно;всегда
нередкий;необычный
нерезультативный;эффективный
нерентабельно;рентабельно
нерешаемый;определённый
неробкий;трусливый
нерушимо;непрочно
нерушимость;неустойчивость
неряшливость;внимательность
несамостоятельный;свободный
несбалансированность;сбалансированность
несвежий;свежий
несвязный;связный
несерьёзно;серьёзно
несимметрический;симметричный
несказанный;обыкновенный
нескладность;согласованность
нескладный;пропорциональный
нескончаемость;прерывистость
нескончаемый;небольшой
нескромный;скромный
неслаженность;согласованность
несловоохотливый;многословный
несложность;сложность
несломленный;победить
неслыханный;будничный
неслышно;громкий
неслышность;ясность
несмело;смело
несмелость;смелость
несмелый;смелый
несметность;исчислимость
несмышлёный;разумный
несносный;осуществимый
несобранность;сосредоточенность
несовершеннолетие;совершеннолетие
несоединимость;совместимость
несознательность;осознанность
несоизмеримость;пропорциональность
несоответственность;пропорциональность
несоответственный;пропорциональный
несподручный;удобный
несправедливо;справедливо
нестандартный;стандартный
нестационарность;неподвижность
нестерпимый;терпеть
нестись;волочиться
нестойкость;стабильность
несуразный;ловкий
несущественный;значительно
несчастный;лёгкий|счастливый
несчётность;исчислимость
несчётный;исчислимый
неталантливый;талантливый
нетвёрдость;уверенность
нетерпимость;мягкость
нетиповой;стандартный
неторопливый;ускоренный
неточно;точно
неточный;точный
нетрудовой;заработать
нетрудоспособность;трудоспособность
нетрудоспособный;трудоспособный
нетто;брутто
нету;быть
неуважительный;значительный
неувязка;точность
неугасающий;временный
неугомонный;прекращаться
неудавшийся;удаться
неудачник;удачник
неудобопонятный;понятный
неудобство;комфорт
неудовлетворённость;удовлетворение
неудовлетворительно;хороший
неудовлетворительный;достаточный
неудовольствие;удовольствие
неуказанный;разрешить
неукротимость;преодолимость
неуловимость;приметность
неуловимый;чувствительный
неумелый;грамотный
неумение;состоятельность
неумеренный;нужный
неумный;умный
неумолимость;мягкость
неумолимый;сгибать
неумышленность;намеренность
неуплатный;уплатить
неупомянутый;затронуть
неупорядоченность;порядок
неупорядоченный;упорядоченный
неустанность;прерывность
неустранимость;исправимость
неутешный;весёлый
неутомимо;изменяться
неучёный;образованный
неуязвимый;несовершенный
неформальный;санкционировать
нехитрый;сложный
нехозяйственность;хозяйственность
нехозяйственный;экономный
нехороший;хороший
нечастый;частый
нечаянно;нарочно
нечестность;честность
нечет;чёт
нечистоплотный;аккуратный
нечистый;аккуратный
нечленораздельность;членораздельность
неширокий;широкий
нештукатуреный;обработанный
неэкономичный;экономный
нивелирование;расслоение
нивелировать;обострять|остроконечный
нигде;везде
нижеозначенный;отдалённый
нижеуказанный;предыдущий
низенький;высокий
низкокачественный;первоклассный
низкорослый;высокий
низкосортный;первосортный
низменность;возвышенность
низовой;верхний
низовье;верховье
низ;верх
никак;всячески
никогда;всегда
никто;весь
никудышный;годный
никчёмность;нужность
ниспадать;вздыматься
ниспослание;бесталанность
ничто;весь
нищать;богатеть
нищенство;роскошь
нищенствовать;роскошествовать
новаторский;регрессивный
новенький;старенький
новизна;старина
новолуние;полнолуние
новопроизведённый;прежний
нога;голова
норд;юг
нордовый;южный
нормаль;параллель
нормальность;непропорциональность
носовой;кормовой
ночевать;дневать
ночной;дневной
ночь;день
нравоучительный;легкомысленный
нырять;выныривать
обанкротиться;процветать|разбогатеть
обанкрочиваться;богатеть
обвёртывать;развёртывать
обвиняемый;истец
обводнять;осушать
обворожить;освободить
обвыкнуться;отвыкнуть
обгонять;отставать
обеднение;обогащение
обеднить;обогатить
обеднять;обогащать
обезвреживать;вооружать
обездоленный;обеспеченный
обездоливать;созидать
обеззараживание;загрязнение
обеззараживать;заражать
обезличивать;расслаивать
обезоруживать;вооружать
обезьяна;красивый
обелить;очернить
обелять;очернять
обеспечить;купить
обесславливать;прославлять
обесточить;включить
обжигать;холодный
обжуливать;охлаждать
обзавестись;потерять
обзаводиться;терять
обижать;утешать
обилие;недостаток
обитаемый;необитаемый
облегчаться;осложняться
облегчиться;осложниться
облетать;участвовать
облигатный;ненужный
облыжно;истинно
обмакивать;вынимать
обмакиваться;подниматься
обматывать;разматывать
обмельчать;крупный
обмирать;ненавидеть
обмозговать;недозрелый
обмякнуть;усилиться
обнаруживаться;взять
обнаруживать;скрывать
обнищание;обогащение
обобщение;отнятие
обобщённый;естественный
обогащаться;беднеть
обогатить;истощённый
ободрение;порицание
обожать;ненавистный
обожание;презрение
обозначаться;пропадать
оборвать;начать
оборваться;начаться
оборонительный;наступательный
оборонять;нападать
оборотный;лицевой
обрабатывание;заражение
образность;безобразность
образование;уничтожение
образованность;неграмотность
образовывать;распускать
образовать;уничтожать
обрат;прибытие
обратно;прямо
обременение;облегчение
обременить;облегчить
обретать;прятать
обретение;потеря
обронить;подобрать
обрушаться;защищаться
обрушить;построить
обрывочность;полнота
обрывочный;полный
обсекание;внесение
обсудить;проигнорировать
обсушивать;мочить
обтекаемость;однозначность
обуваться;разуваться
обуздать;разжечь
обуздывать;разжигать
обусловить;неопределённый|погасить
обусловленность;неопределённость
обучение;неграмотность
обхватывание;увеличение
обходить;прибывать
обходный;прямая
обчищать;загрязнять
обшарпанный;новый
обширно;узкий
обширность;узость
общепризнанный;оспоримый
общерелигиозный;атеистический
общество;затемнение
общеупотребительный;необыкновенный
общецерковный;светский
объегоривание;правда
объединять;разложимый|разобщать
объект;субъект
объективистский;пристрастный
объём;кредит
объяснительный;неявный
обычность;необыкновенность
обязывать;добровольный
оглушительный;тихий
оголодать;сытый
огонь;лёд
огорчать;радостный
огрех;точность
огрубление;точность
ода;порицание
одарённость;бездарность
одевание;раздевание
одевать;раздевать
одеваться;раздеваться
оделить;бездарный|взять
одеревенелый;подвижный
одержимость;падение
один;множественный
одинаково;разнородный
одинаковость;неоднородность
одинокий;многолюдный
одновременность;разновременность
одногодичный;многолетний
одноземка;иностранка
однозначность;многозначность
однолетний;многолетний
одноликость;разнообразие
однонаправленный;разнонаправленный
однообразие;разнообразие
одноплановый;разнонаправленный
одноразовый;многоразовый
однородный;разнородный
односложность;распространённость
одноступенчатый;многоступенчатый
однотонный;разноцветный
одноцветность;разноцветность
одобрить;запретить
одурманивать;отрезвлять
оживать;падать
озимь;жатва
оказание;сокрытие
окаменевать;разжижаться
оканчивать;начинать
околозвуковой;сверхзвуковой
окончить;начать
окраина;центр
окрепнуть;снизиться
окроме;включать
округление;точность
округлый;прямая
округлять;выпрямлять
окружение;объединение
окружной;прямая
окрылить;погасить
окутывать;развёртывать
оный;пройти
опасно;безопасно
опасность;безопасность
операция;дизъюнкция
опередить;отстать
опережать;отставать
оплетать;разматывать
опошление;выпрямление
оппонентка;соратница
оппортунистический;революционный
оправдываться;исполняться
определение;развязывание
определяться;уходить
опровергать;подтверждать
опровержение;подтверждение
оптимизм;пессимизм
оптимист;пессимист
оптимистический;пессимистический
оптимистичный;пессимистичный
опускание;повышение
опустошать;обогащать
опутывание;разъединение
опустить;исправный
опытовый;неопытный
опьянение;отрезвление
опьянять;отрезвлять
орошать;осушать
ортогональный;параллельный
осевой;поперечный
осёдлывать;рассёдлывать
осенний;весенний
осень;весна
осиливать;подчиняться
оскудевать;богатеть
оскуделый;обогатиться
оскудение;обогащение
оскудеть;обогатиться
ослабеть;усиливаться
ослабить;усиленный
ослабляться;усиливаться
ослабнуть;усилиться
ослепительный;тусклый
ослепнуть;прозреть
осложнение;доход
ослушивать;прерывать
осмотрительность;неосторожность
осмысленный;бессмысленный
основательность;поверхностность
основное;второстепенное
оставить;многолюдный
оставлять;начинать
останавливаться;работать
остановиться;закричать
остановка;исправность
остервенелый;спокойный
остолбенение;подвижность
осторожный;бестактный
остриё;обух
остро;тупо
островерхий;тупой
остродефицитный;изобильный
остроконечный;тупой
остывать;нагреваться
осуждать;оправдывать
осудить;оправданный
осуществимый;невозможный
осчастливливать;вредить
осязательный;маленький
отбив;отправление
отбиваться;подчиняться
отбор;согласие
отбрасывание;учитывание
отбывание;прибытие
отважно;трусливо
отважность;трусость
отвалиться;пристать
отвергать;принимать
отверзать;замыкать
отверзть;спрятать
отвернуть;напрятать
отверстый;замкнутый
отвесный;горизонтальный
ответ;вопрос
ответчик;истец
отвинтить;завинтить
отвинчивать;завинчивать
отвлечение;конкретизация
отвлечённость;конкретность
отворить;запереть
отворять;затворять
отворяться;затворяться
отвращение;симпатия
отвыкать;привыкать
отвыкнуть;привыкнуть
отгадывать;загадывать
отговаривать;очаровывать
отгороженность;соединимость
отграничивание;соединение
отдалиться;сблизиться
отдалять;статичный
отдаляться;сближаться
отделать;необработанный
отделимость;соединимость
отделить;объединить
отделка;порча
отдуть;оригинальный
отдых;работа
отдыхать;работать
отепление;охлаждение
отечество;чужбина
отзывать;принимать
отказывать;принимать
откачивать;нагнетать
откидка;аккуратность
отключение;включение
отключить;включить
откомандировать;прислать
откорректировать;испортить
открещиваться;признавать
откровенность;скрытность
открывание;закрывание
открытие;закрытие
открытость;замкнутость
откупорить;закупорить
отлепить;приклеить
отличимый;незаметный
отличительный;одинаковый
отлогий;крутой
отложистый;прямая
отлуп;удача
отлучение;разрешение
отменить;продолжить
отмерить;непреднамеренный
отметить;выписать
отнимать;прибавлять
отныне;пот
отнятие;приобретение
отнять;дать
отобрание;приобретение
отогревать;остужать
отодвигать;принимать
отойти;причалить
оторвать;конкретный
отослать;прислать
отповедь;подтверждение
отправитель;получатель
отправляться;останавливаться
отпрыск;предок
отпускать;держать
отпущение;обвинение
отрегулировать;неисправленный
отрезвление;опьянение
отрезывать;прибавлять
отрекаться;признавать
отремонтироваться;поломаться
отрешение;принятие
отрицание;признание
отрывочность;полнота
отрывчатый;полный
отсеивание;привлечение
отсоединить;присоединить
отсос;успех
отсрочить;ускорить
отставать;присоединяться
отстранённость;заинтересованность
отступление;соблюдение
отсутствие;присутствие
отсутствовать;быть
отсылать;присылать
отталкивание;притяжение
отталкивать;притягивать
оттенять;сглаживать
отторгать;принимать
оттуда;отсюда
отужинать;начинать
отуманить;открыть
отучать;приучать
отучиться;привыкнуть
отцветать;молодеть
отчаиваться;надеяться
отчаяние;надежда
отчаянность;надежда
отчёт;вопрос
отчизна;чужбина
отчислять;увеличивать
отшлифовывание;ухудшение
отщепляться;сливаться
отъединённый;присоединить
отъехать;сблизиться
отыскивание;потеря
отягощать;облегчать
отягощаться;улучшаться
отягчить;облегчить
официально;неофициально
официальность;неофициальность
охаивание;одобрение
охлаждаться;нагреваться
охотливый;профессионал
охотно;неохотно
охранительный;реформаторский
охранить;потерять
охуждать;хвалить
очаг;периферия
очарование;разочарование
очаровывание;освобождение
очаровывать;разочаровывать
очаровываться;разочаровываться
очернение;обеление
очернять;обелять
очищать;захламлять
очищение;загрязнение
ошибиться;выпутаться
ошуюю;справа
паблисити;бесславие
падение;улучшение
памятливый;забывчивый
памятный;забвенный
параллельный;многоразовый
параномия;согласие
парировать;подтверждать
паритет;неравноправие
паровозик;впереди
партизанщина;соответствие
партикулярный;официальный
парциальный;полный
пасмурно;ненастно
пассив;плюс
патронша;подчинённый
пауза;возобновление
пауперизация;обогащение
паутинный;толстый
пахнуть;улучшаться
пацифистский;враждебный
педагогичный;легкомысленный
педалирование;торможение
педалироваться;ослабляться
педантизм;небрежность
педантичный;неаккуратный
первенствовать;подчиняться
первозданный;изменяться
первоклассный;неправильный
первостепенность;второстепенность
первостепенный;второстепенный
перебой;изобилие
перебор;недохватка
перебудить;подавить
перевертеть;улучшить
перевешивание;подчинение
перевиваться;расплетаться
переводить;скупиться
переворачивать;выпрямлять
переврать;распутать
перегонять;отставать
перегорать;увеличиваться
передача;приём
передвижение;назначение
передвижной;неподвижный
переделка;лёгкость
передовая;тыл
передок;задок
переезжать;параллельный
перезревать;молодеть
переиначить;правильный
переиначивать;улучшать
перекривление;выпрямление
перекривляться;исправляться
перекурка;возобновление
переменить;оставить
переменность;устойчивость
переменчивый;постоянный
переместить;остановить
перемещать;тормозить
перемножать;делить
перемножаться;делиться
перемножение;деление
перемножить;разделить
перемол;укрупнение
перенести;близкий
переносимый;статичный
переносной;стабильный
переносный;статичный
переоборудовать;оставлять
переоценить;недооценить
перепачкать;свежий
переплетение;разъединение
переполох;спокойствие
перепутать;распутать
перепутываться;распутываться
перерубать;соединять
пересекать;параллельный
переселенец;иммигрант
пересмеиваться;плакать
пересолить;недосолить
перестать;начаться
переступать;соблюдать
переться;пропадать
переуступать;лицевой
переходить;постоянный|создавать
переходной;установиться
периферийный;центральный
периферический;центральный
перманентный;непостоянный
перпендикуляр;параллель
перпендикулярный;параллельный
персистентность;колебание
песнь;подчинённый
печалиться;веселиться
пик;минимум
пиршествовать;печалиться
питательный;скудный
пичкать;опустошать
плавиться;застывать
плавление;застывание
плавность;прерывистость
плазмон;спуск
плакаться;молчать
пламенный;неактуальный
пластичный;противоречивый
плат;неуплата
платёж;заём
пленение;освобождение
пленить;освободить
пленять;освобождать
плинтовать;шаткий
плодовитый;бесплодный
плодоносный;неплодородный
плоскостный;ребристый
плотный;растянутый
плохо;хороший
плюс;минус
плющить;деятельность
по;против
победить;проиграть
победоносность;неуверенность
побивать;проигрывать
близкий;далёкий
повалить;поднять
повелительный;мягкий
поверить;разувериться
поверхностно;тяжело
поверху;понизу
повторительный;первостепенный
повторить;опровергнуть
погибнуть;закричать
поглощать;выделять
погружение;всплытие
подавать;брать
подаваться;браться
подбавлять;отнимать
подбросить;отвезти
подвиг;преступление
подвигать;отодвигать
подвижной;установиться
подвластный;независимо
подгонять;выпрямлять
поддаваться;браться
поддатый;прямая
поддержание;срыв
подёнщик;постоянный
поджигать;тушить
подкалить;холодный
подкидывание;убавление
подковёрный;внешний
подковывать;расковывать
подконтрольность;неуправляемость
подкрадываться;отступать
подкупить;вооружить
подлавливание;сокрытие
подле;вдалеке
подлый;благородный
подлость;возвышенность
поднять;ухудшить
подобно;различно
подогревание;охлаждение
подогреваться;охлаждаться
пододвигать;отодвигать
подорвать;усилить
подорваться;усилиться
подоспеть;выдвориться
подпаивать;разъединять
подплыть;отчалить
подправить;ухудшить
подправка;порча
подражание;нарушение
подробный;краткий
подробность;общность
подружить;отдалить
подряжаться;увольняться
подскакивать;отходить
подскочить;уменьшиться
подслеповатый;дальновидный
подстрекать;заглушать
подсчёт;начало
подтвердить;опровергнуть
подтверждать;опровергать
подтверждение;опровержение
подтормаживать;ускорять
подхватиться;сократиться
подхватить;укоротить
подчалить;отойти
подчинить;освободить
подчиниться;освободиться
подчинять;освобождать
подчиняться;свободный
подъезд;отъезд
подъезжать;отъезжать
пожать;ослабить
позавчера;послезавтра
позволение;запрещение
позволить;запретить
позволять;запрещать
поздний;ранний
поздно;рано
позитивно;негативный
пойти;кончаться
показание;опровержение
показывание;сокрытие
покатый;прямая
покидать;приходить
поклонение;презрение
поклонник;враг
поклоняться;презирать
поковеркаться;прямая
покойный;беспокойный
поколение;прекращение
покорение;освобождение
покорить;освободить
покориться;освободиться
покоробиться;прямая
покорять;освобождать
покоряться;освобождаться
покровительство;препятствование
покрывать;открывать
покупатель;продавец
покупаться;продаваться
покупка;продажа
пол;потолок
полагать;невозможный
полдень;полночь
полдневный;полночный
полезно;вредно
полином;одночлен
полисемичный;однозначный
политкорректный;ошибочный
политэкономия;растрата
полнеть;худеть
полноватый;худой
полномочный;некомпетентный
полностью;частично
положенный;несоответствующий
полузнайка;учёный
получить;отдать
полынь;мёд
полюбить;разлюбить
поместительность;узость
поместить;снять
поместиться;выехать
помирить;поссорить
помириться;поссориться
помнить;забывать
помниться;забываться
помножать;делить
помножаться;делиться
помножить;разделить
помпа;будничность
понижательный;повышать
низкий;высокий
понизительный;повышать
понимание;непонимание
понос;ожидаемость
понудить;подчиниться
понуждать;подчиняться
понятливость;невосприимчивость
понятно;непонятно
поослабнуть;усилиться
поощрение;порицание
попадание;победа
попадать;промахнуться
поперёд;после
поперёк;прямо
попирание;уважение
попортить;возбудить
популярность;бесславие
попустительство;пресечение
попустительствовать;пресекать
поработить;освободить
порабощаться;освобождаться
порабощение;освобождение
порицание;одобрение
поруха;счастье
поручать;разбирать
поручение;получение
порывание;начало
порывистость;равномерность
порядочность;непорядочность
посев;жатва
посеять;подавить
посильность;сложность
последовательно;непоследовательно
послушаться;освободиться
послушность;непокорность
посметь;струсить
поспевать;провалиться
поспешность;промедление
поспросить;ответить
постамент;роспуск
постоялец;хозяин
постоялица;хозяйка
постоянная;переменная
постоянство;прерывность
поступательный;регрессивный
посылаться;прибывать
потачка;пресечение
потепление;похолодание
потереть;новый
потерять;достаточный
потеряться;найтись
поторопить;затормозить
потребитель;продавец
потрясный;обычный
потрясти;укрепить
потрястись;усилиться
потусторонний;познаваемый
потухать;начинаться
поурезать;увеличенный
похвалить;запретить|порицать
похвально;предосудительно
похмеляться;ухудшаться
походить;отличаться
похолодание;потепление
почить;родиться
почесть;точно
почтительно;пренебрежительно
пошвырять;приходить
поэтический;разрушительный
правдиво;ложно
правдивость;обыденность
праведник;грешник
правка;порча
правление;подчинение
право;подверженность
правомочный;бесправный
правосудный;пристрастный
править;подчиняться
прагматизм;непрактичность
прагматический;неприменимый
прагматичность;неосторожность
праздник;будень
праздничность;будничность
праздноваться;расставаться
празднолюбивый;добросовестный
праздношататься;свет
праздный;занятый
практик;теория
практический;нереальный
прародитель;потомок
превалирование;подчинение
превалировать;подчиняться
превознести;порицать
превозносить;порицать
превосходство;подчинение
превосходствовать;второстепенный
превратность;счастье
превышение;убыток
предбудущий;прошлый
предварительно;окончательно
предварить;промедлить
предварять;медлить
предвоенный;послевоенный
преднамеренно;случайно
предок;потомок
предоставить;взять
предоставлять;брать
предписывать;подчиняться
предположительно;точно
предположительность;точность
предположительный;очевидный
предпосылать;медлить
предпринимать;кончать
предсмертный;начальный
представительный;назначать
представлять;несводимый
предубеждение;определённость
предубеждённость;непредвзятость
предупредить;задержаться
предупреждать;задерживаться
предъявитель;получатель
предъявляться;исчезать
преемник;предшественник
преждевременно;поздно
преждевременный;поздний
прежнее;небылица
презентант;получатель
презрение;учитывание
преизбыточный;недостаточный
преклоняться;презирать
прекратиться;будущий
пренебречь;учитывать
преобразить;постоянный
преодоление;торможение
преподносить;получать
препоручение;недоверие
препрославленный;неизвестный
пресветлый;тёмный
прескучный;интересный
пресмешной;грустный
пресный;солёный
претендент;компаньон
претенциозный;простой
преумножать;уменьшать
преуспевать;обанкротиться
преуспеяние;крах
прибавиться;уменьшиться
прибавляться;убавляться
прибегать;убегать
приближённый;точный
приблизительно;точно
приблизительность;точность
приблизительный;очевидный
приблудный;законный
прибрасывать;убавлять
прибывание;отъезд
прибывать;исходить
прибыльность;нерентабельность
прибыток;убыток
привалить;скрыться
приверженка;враг
приветливость;мизантропия
приветствовать;прощаться
привилегированный;непривилегированный
привинчивать;отвинчивать
привлекательность;непривлекательность
привлекательный;непривлекательный
привлекать;освобождать
приводить;уводить
привоз;вывоз
привыкание;отвыкание
привыкнуть;отвыкнуть
привычка;отвычка
пригвождение;отсоединение
пригласить;уволить
приглашать;увольнять
приглушать;зажигать
приговорённый;оправданный
пригожий;неблаговидный
пригонять;угонять
приготовить;ущербный
пригульный;законнорождённый
придавать;выносить
придвигать;отодвигать
придержать;невоздержанный
придирчивость;нетребовательность
прижизненный;посмертный
прижиться;отвыкнуть
приземлённый;актуальный
приземляться;взлетать
признанность;недоказанность
призрачность;осуществимость
призрачный;реальный
приказывать;выполнять
прикладной;теоретический
приклеивать;отклеивать
прикрепление;отсоединение
прикрутить;отвинтить
прикусываться;разжиматься
прилежать;удалённый
прилежный;ленивый
прилеплять;отклеивать
прилепляться;отлепляться
прилёт;отлёт
прилетать;улетать
прилив;отлив
приливный;отливный
приличие;неприличие
прилично;неприлично
приляпать;отклеить
приманка;убыток
примерно;точно
примирить;поссорить
примириться;поссориться
примирять;ссорить
примыслить;реальный
принижаться;преувеличиваться
приноровление;отвыкание
принудительный;добровольный
принуждать;разъединять
принуждение;свобода
принудить;естественный
принципиальность;беспринципность
принципиальный;беспринципный
принятие;отчисление
принять;отдать
приобрести;потерять
приобретаться;тратить
приобщить;чужой
приостанавливать;возобновлять|разрешать
приостановить;ускорить
приостановка;возобновление
припасание;расходование
приписать;убавить
приплести;отнять
припоминаться;забываться
припомнить;забыть
припомниться;забыться
припутывать;отталкивать
приработок;трата
приручённость;непокорность
приручить;дикий
прискакивать;уезжать
прислуживание;святотатство
